lemma	homonym	new_para	particle
arkeittain	1	PCLE_NOPEASTI	adverb
arkeologisesti	1	PCLE_NOPEASTI	adverb
arkipäivisin	1	PCLE_TYHMÄSTI	adverb
arkisesti	1	PCLE_NOPEASTI	adverb
arkisin	1	PCLE_NOPEASTI	adverb
arkittain	1	PCLE_NOPEASTI	adverb
arkkit.	1	PCLE_VAAN	abbreviation
arkkitehtonisesti	1	PCLE_NOPEASTI	adverb
armahin	1	PCLE_VAAN	unspecified
armeliaasti	1	PCLE_NOPEASTI	adverb
armoilla	1	PCLE_KOTONA	adposition
armoille	1	PCLE_ALLE	adposition
armollisesti	1	PCLE_NOPEASTI	adverb
armosta	1	PCLE_NOPEASTI	adposition
armottomasti	1	PCLE_NOPEASTI	adverb
arrogantisti	1	PCLE_NOPEASTI	adverb
art.	1	PCLE_VAAN	abbreviation
arv.	1	PCLE_VAAN	abbreviation
arvaamattomasti	1	PCLE_NOPEASTI	adverb
arvatenkaan	1	PCLE_NOPEASTI	adverb
arvatenkin	1	PCLE_VAAN	unspecified
arvattavasti	1	PCLE_NOPEASTI	adverb
arvelevasti	1	PCLE_NOPEASTI	adverb
arveluttavasti	1	PCLE_NOPEASTI	adverb
arviolta	1	PCLE_VAAN	unspecified
arvoituksellisesti	1	PCLE_NOPEASTI	adverb
arvokkaasti	1	PCLE_NOPEASTI	adverb
arvosta	1	PCLE_KOTONA	adposition
arvostelevasti	1	PCLE_NOPEASTI	adverb
arvostelukyvyttömästi	1	PCLE_TYHMÄSTI	adverb
arvottomasti	1	PCLE_NOPEASTI	adverb
arvovaltaisesti	1	PCLE_NOPEASTI	adverb
arvoväritteisesti	1	PCLE_TYHMÄSTI	adverb
as.	1	PCLE_VAAN	abbreviation
asemasta	1	PCLE_NOPEASTI	adverb
asemesta	1	PCLE_NOPEASTI	adposition
asenteellisesti	1	PCLE_NOPEASTI	adverb
aseptisesti	1	PCLE_NOPEASTI	adverb
asetusteitse	1	PCLE_NOPEASTI	adverb
asiallisesti	1	PCLE_NOPEASTI	adverb
asianmukaisesti	1	PCLE_NOPEASTI	adverb
asiantuntevasti	1	PCLE_NOPEASTI	adverb
asiattomasti	1	PCLE_NOPEASTI	adverb
askeettisesti	1	PCLE_NOPEASTI	adverb
askelittain	1	PCLE_NOPEASTI	adverb
askelmittain	1	PCLE_NOPEASTI	adverb
asosiaalisesti	1	PCLE_NOPEASTI	adverb
as.oy.	1	PCLE_VAAN	abbreviation
ass.	1	PCLE_VAAN	abbreviation
assist.	1	PCLE_VAAN	abbreviation
asteittain	1	PCLE_NOPEASTI	adverb
asti	1	PCLE_NOPEASTI	adposition
astioittain	1	PCLE_NOPEASTI	adverb
astrologisesti	1	PCLE_NOPEASTI	adverb
astronomisesti	1	PCLE_NOPEASTI	adverb
asymmetrisesti	1	PCLE_TYHMÄSTI	adverb
at	1	PCLE_VAAN	abbreviation
atavistisesti	1	PCLE_NOPEASTI	adverb
ateistisesti	1	PCLE_NOPEASTI	adverb
attraktiivisesti	1	PCLE_NOPEASTI	adverb
au	1	PCLE_HAH	interjection
au.	1	PCLE_VAAN	abbreviation
auki	1	PCLE_NOPEASTI	adverb
auktoritatiivisesti	1	PCLE_NOPEASTI	adverb
auliisti	1	PCLE_NOPEASTI	adverb
aurinkoisesti	1	PCLE_NOPEASTI	adverb
ausk.	1	PCLE_VAAN	abbreviation
automaattisesti	1	PCLE_NOPEASTI	adverb
autoritaarisesti	1	PCLE_NOPEASTI	adverb
autoritäärisesti	1	PCLE_TYHMÄSTI	adverb
auts	1	PCLE_HAH	interjection
auttamatta	1	PCLE_NOPEASTI	adverb
auttamattomasti	1	PCLE_NOPEASTI	adverb
auttavasti	1	PCLE_NOPEASTI	adverb
autuaallisesti	1	PCLE_NOPEASTI	adverb
autuaasti	1	PCLE_NOPEASTI	adverb
avarakatseisesti	1	PCLE_NOPEASTI	adverb
avaramielisesti	1	PCLE_TYHMÄSTI	adverb
avo	1	PCLE_VAAN	unspecified
avoimemmin	1	PCLE_NOPEASTI	adverb|Comp
avoimesti	1	PCLE_NOPEASTI	adverb
avoinna	1	PCLE_NOPEASTI	adverb
avojaloin	1	PCLE_NOPEASTI	adverb
avokatseisesti	1	PCLE_NOPEASTI	adverb
avokäsin	1	PCLE_TYHMÄSTI	adverb
avokätisesti	1	PCLE_TYHMÄSTI	adverb
avomielisesti	1	PCLE_NOPEASTI	adverb
avonaisesti	1	PCLE_NOPEASTI	adverb
avopäin	1	PCLE_TYHMÄSTI	adverb
avosilmin	1	PCLE_NOPEASTI	adverb
avosuin	1	PCLE_NOPEASTI	adverb
avosydämisesti	1	PCLE_TYHMÄSTI	adverb
avosylin	1	PCLE_TYHMÄSTI	adverb
avot	1	PCLE_HAH	interjection
avuliaasti	1	PCLE_NOPEASTI	adverb
avulla	1	PCLE_KOTONA	adposition
avuttomasti	1	PCLE_NOPEASTI	adverb
ay.	1	PCLE_VAAN	abbreviation
B.A.	1	PCLE_VAAN	abbreviation
bakteriologisesti	1	PCLE_NOPEASTI	adverb
banaalisti	1	PCLE_NOPEASTI	adverb
bang	1	PCLE_HAH	interjection
bar	2	PCLE_VAAN	abbreviation
barbaarimaisesti	1	PCLE_NOPEASTI	adverb
barbaarisesti	1	PCLE_NOPEASTI	adverb
bilateraalisesti	1	PCLE_NOPEASTI	adverb
biodynaamisesti	1	PCLE_NOPEASTI	adverb
biokemiallisesti	1	PCLE_NOPEASTI	adverb
biologisesti	1	PCLE_NOPEASTI	adverb
bioteknisesti	1	PCLE_TYHMÄSTI	adverb
bisarristi	1	PCLE_NOPEASTI	adverb
biseksuaalisesti	1	PCLE_NOPEASTI	adverb
blaa	1	PCLE_HAH	interjection
blää	1	PCLE_HAH	interjection
blääblääblää	1	PCLE_HAH	interjection
boing	1	PCLE_HAH	interjection
boom	1	PCLE_HAH	interjection
botaanisesti	1	PCLE_NOPEASTI	adverb
br.	1	PCLE_VAAN	abbreviation
bravo	1	PCLE_HAH	interjection
brežneviläisesti	1	PCLE_TYHMÄSTI	adverb
B.S.	1	PCLE_VAAN	abbreviation
B.Sc.	1	PCLE_VAAN	abbreviation
bum	1	PCLE_HAH	interjection
buum	1	PCLE_HAH	interjection
byrokraattisesti	1	PCLE_NOPEASTI	adverb
bäng	1	PCLE_HAH	interjection
bää	1	PCLE_HAH	interjection
ca	1	PCLE_VAAN	abbreviation
c:a	1	PCLE_VAAN	abbreviation
caramba	1	PCLE_VAAN	unspecified
cf.	1	PCLE_VAAN	abbreviation
c/o	1	PCLE_VAAN	abbreviation
Co.	1	PCLE_VAAN	abbreviation
Corp.	1	PCLE_VAAN	abbreviation
de	2	PCLE_VAAN	unspecified
deduktiivisesti	1	PCLE_NOPEASTI	adverb
deekikselle	1	PCLE_TYHMÄSTI	adverb
deekiksellä	1	PCLE_TYHMÄSTI	adverb
defensiivisesti	1	PCLE_TYHMÄSTI	adverb
definiittisesti	1	PCLE_TYHMÄSTI	adverb
definitiivisesti	1	PCLE_TYHMÄSTI	adverb
del	1	PCLE_VAAN	unspecified
dekadentisti	1	PCLE_NOPEASTI	adverb
dekoratiivisesti	1	PCLE_NOPEASTI	adverb
dem.	1	PCLE_VAAN	abbreviation
demagogisesti	1	PCLE_NOPEASTI	adverb
demografisesti	1	PCLE_NOPEASTI	adverb
demokraattisesti	1	PCLE_NOPEASTI	adverb
demonisesti	1	PCLE_NOPEASTI	adverb
demonstratiivisesti	1	PCLE_NOPEASTI	adverb
depressiivisesti	1	PCLE_TYHMÄSTI	adverb
dermatologisesti	1	PCLE_NOPEASTI	adverb
deskriptiivisesti	1	PCLE_TYHMÄSTI	adverb
despoottisesti	1	PCLE_NOPEASTI	adverb
deterministisesti	1	PCLE_TYHMÄSTI	adverb
diagnostisesti	1	PCLE_NOPEASTI	adverb
dialektisesti	1	PCLE_NOPEASTI	adverb
didaktisesti	1	PCLE_NOPEASTI	adverb
digitaalisesti	1	PCLE_NOPEASTI	adverb
diktatorisesti	1	PCLE_NOPEASTI	adverb
ding	1	PCLE_HAH	interjection
dipl.	1	PCLE_VAAN	abbreviation
dipl.arkkit.	1	PCLE_VAAN	abbreviation
dipl.ekon.	1	PCLE_VAAN	abbreviation
dipl.ins.	1	PCLE_VAAN	abbreviation
dipl.kielenk.	1	PCLE_VAAN	abbreviation
dipl.kirjeenv.	1	PCLE_VAAN	abbreviation
dipl.kosm.	1	PCLE_VAAN	abbreviation
dipl.urk.	1	PCLE_VAAN	abbreviation
dir. cant.	1	PCLE_VAAN	abbreviation
dir. mus.	1	PCLE_VAAN	unspecified
div.	1	PCLE_VAAN	abbreviation
dogmaattisesti	1	PCLE_NOPEASTI	adverb
dominantisti	1	PCLE_NOPEASTI	adverb
dorkasti	1	PCLE_NOPEASTI	adverb
dos.	1	PCLE_VAAN	abbreviation
Dr.	1	PCLE_VAAN	abbreviation
draamallisesti	1	PCLE_NOPEASTI	adverb
dramaattisesti	1	PCLE_NOPEASTI	adverb
drastisesti	1	PCLE_NOPEASTI	adverb
dualistisesti	1	PCLE_NOPEASTI	adverb
dynaamisesti	1	PCLE_NOPEASTI	adverb
e.	1	PCLE_VAAN	abbreviation
eaa	1	PCLE_VAAN	abbreviation
eaa.	1	PCLE_VAAN	abbreviation
ed.	1	PCLE_VAAN	abbreviation
edelle	1	PCLE_YLLE	adposition
edelle	2	PCLE_YLLE	adverb
edelleen	1	PCLE_TYHMÄSTI	adverb
edellä	1	PCLE_IKINÄ	adposition
edellä	2	PCLE_IKINÄ	adverb
edeltä	1	PCLE_IKINÄ	adposition
edeltä	2	PCLE_IKINÄ	adverb
edeltäkäsin	1	PCLE_TYHMÄSTI	adverb
edeltäpäin	1	PCLE_TYHMÄSTI	adverb
edemmä	1	PCLE_TYHMÄSTI	adverb|Comp
edemmäksi	1	PCLE_TYHMÄSTI	adverb|Comp
edemmäs	1	PCLE_TYHMÄSTI	adverb|Comp
edempänä	1	PCLE_TYHMÄSTI	adverb|Comp
edempää	1	PCLE_TYHMÄSTI	adverb|Comp
edes	1	PCLE_VAAN	unspecified
edespäin	1	PCLE_TYHMÄSTI	adverb
edessä	1	PCLE_IKINÄ	adposition
edessä	2	PCLE_IKINÄ	adverb
edessäpäin	1	PCLE_TYHMÄSTI	adverb
edestakaisin	1	PCLE_NOPEASTI	adverb
edestä	1	PCLE_IKINÄ	adposition
edestä	2	PCLE_IKINÄ	adverb
edestäpäin	1	PCLE_TYHMÄSTI	adverb
edesvastuuttomasti	1	PCLE_NOPEASTI	adverb
edistyksellisesti	1	PCLE_TYHMÄSTI	adverb
editse	1	PCLE_YLLE	adposition
edullisesti	1	PCLE_NOPEASTI	adverb
edullisimmin	1	PCLE_NOPEASTI	adverb|Superl
edustalla	1	PCLE_KOTONA	adposition
edustavasti	1	PCLE_NOPEASTI	adverb
edusteilla	1	PCLE_NOPEASTI	adverb
ee	1	PCLE_HAH	interjection
ees	1	PCLE_VAAN	unspecified
eespäin	1	PCLE_TYHMÄSTI	adverb
eettisesti	1	PCLE_TYHMÄSTI	adverb
efektiivisesti	1	PCLE_TYHMÄSTI	adverb
e.g.	1	PCLE_VAAN	abbreviation
egoistisesti	1	PCLE_NOPEASTI	adverb
egosentrisesti	1	PCLE_TYHMÄSTI	adverb
eh	1	PCLE_HAH	interjection
ehdoin tahdoin	1	PCLE_NOPEASTI	adverb
ehdollisesti	1	PCLE_NOPEASTI	adverb
ehdottomasti	1	PCLE_NOPEASTI	adverb
ehdyksiin	1	PCLE_TYHMÄSTI	adverb
ehdyksissä	1	PCLE_TYHMÄSTI	adverb
eheheh	1	PCLE_HAH	interjection
ehei	1	PCLE_HAH	interjection
eheästi	1	PCLE_TYHMÄSTI	adverb
ehjästi	1	PCLE_TYHMÄSTI	adverb
ehken	1	PCLE_VAAN	unspecified
ehkä	1	PCLE_VAAN	unspecified
ehkäpä	1	PCLE_VAAN	unspecified
ehommin	1	PCLE_NOPEASTI	adverb|Comp
eht.	1	PCLE_VAAN	abbreviation
ehta	2	PCLE_VAAN	qualifier
ehtimiseen	1	PCLE_TYHMÄSTI	adverb
-ehtoisesti	1	PCLE_NOPEASTI	adverb
eiei	1	PCLE_HAH	interjection
eiku	1	PCLE_VAAN	unspecified
eikun	1	PCLE_VAAN	unspecified
eikä	1	PCLE_VAAN	conjunction|Coordinating
ei-leksikaalisesti	1	PCLE_NOPEASTI	adverb
eilen	1	PCLE_TYHMÄSTI	adverb
eioo	1	PCLE_VAAN	unspecified
eiq	1	PCLE_VAAN	unspecified
eittämättä	1	PCLE_TYHMÄSTI	adverb
eka	2	PCLE_VAAN	qualifier
ekologisesti	1	PCLE_NOPEASTI	adverb
ekon.	1	PCLE_VAAN	abbreviation
ekonometrisesti	1	PCLE_NOPEASTI	adverb
ekonomisesti	1	PCLE_NOPEASTI	adverb
eKr	1	PCLE_VAAN	abbreviation
eKr.	1	PCLE_VAAN	abbreviation
eksaktisti	1	PCLE_NOPEASTI	adverb
eksentrisesti	1	PCLE_TYHMÄSTI	adverb
eksoottisesti	1	PCLE_NOPEASTI	adverb
ekspansiivisesti	1	PCLE_NOPEASTI	adverb
eksplisiittisesti	1	PCLE_TYHMÄSTI	adverb
eksponentiaalisesti	1	PCLE_NOPEASTI	adverb
ekspressiivisesti	1	PCLE_TYHMÄSTI	adverb
